INDEX,Issuer Ticker,Name,Asset Class,Weight (%),Sector,Exchange,Location,Market Currency
SWDA,NEE,NEXTERA ENERGY INC,Equity,0.27,Utilities,New York Stock Exchange Inc.,United States,USD
SWDA,HON,HONEYWELL INTERNATIONAL INC,Equity,0.27,Industrials,NASDAQ,United States,USD
SWDA,LIN,LINDE PLC,Equity,0.27,Materials,New York Stock Exchange Inc.,United States,USD
SWDA,C,CITIGROUP INC,Equity,0.26,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.26,Consumer Staples,New York Stock Exchange Inc.,United States,USD
SWDA,UNP,UNION PACIFIC CORP,Equity,0.26,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,SAP,SAP,Equity,0.25,Information Technology,Xetra,Germany,EUR
SWDA,BMY,BRISTOL MYERS SQUIBB,Equity,0.25,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,ULVR,UNILEVER PLC,Equity,0.25,Consumer Staples,London Stock Exchange,United Kingdom,GBP
SWDA,RY,ROYAL BANK OF CANADA,Equity,0.25,Financials,Toronto Stock Exchange,Canada,CAD
SWDA,MS,MORGAN STANLEY,Equity,0.25,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,INTU,INTUIT INC,Equity,0.24,Information Technology,NASDAQ,United States,USD
SWDA,1299,AIA GROUP LTD,Equity,0.24,Financials,Hong Kong Exchanges And Clearing Ltd,Hong Kong,HKD
SWDA,GS,GOLDMAN SACHS GROUP INC,Equity,0.24,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,LOW,LOWES COMPANIES INC,Equity,0.23,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.23,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,BLK,BLACKROCK INC,Equity,0.23,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,CBA,COMMONWEALTH BANK OF AUSTRALIA,Equity,0.23,Financials,Asx - All Markets,Australia,AUD
SWDA,SBUX,STARBUCKS CORP,Equity,0.23,Consumer Discretionary,NASDAQ,United States,USD
SWDA,AMGN,AMGEN INC,Equity,0.22,Health Care,NASDAQ,United States,USD
SWDA,TGT,TARGET CORP,Equity,0.22,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,RTX,RAYTHEON TECHNOLOGIES CORP,Equity,0.22,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,BA,BOEING,Equity,0.22,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,6758,SONY GROUP CORP,Equity,0.22,Consumer Discretionary,Tokyo Stock Exchange,Japan,JPY
SWDA,SIE,SIEMENS N AG,Equity,0.21,Industrials,Xetra,Germany,EUR
SWDA,TD,TORONTO DOMINION,Equity,0.21,Financials,Toronto Stock Exchange,Canada,CAD
SWDA,IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.21,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,AMD,ADVANCED MICRO DEVICES INC,Equity,0.21,Information Technology,NASDAQ,United States,USD
SWDA,MRNA,MODERNA INC,Equity,0.21,Health Care,NASDAQ,United States,USD
SWDA,AMT,AMERICAN TOWER REIT CORP,Equity,0.21,Real Estate,New York Stock Exchange Inc.,United States,USD
SWDA,CAT,CATERPILLAR INC,Equity,0.20,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,OR,LOREAL SA,Equity,0.20,Consumer Staples,Nyse Euronext - Euronext Paris,France,EUR
SWDA,AMAT,APPLIED MATERIAL INC,Equity,0.20,Information Technology,NASDAQ,United States,USD
SWDA,DGE,DIAGEO PLC,Equity,0.20,Consumer Staples,London Stock Exchange,United Kingdom,GBP
SWDA,GE,GENERAL ELECTRIC,Equity,0.19,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,HSBA,HSBC HOLDINGS PLC,Equity,0.19,Financials,London Stock Exchange,United Kingdom,GBP
SWDA,TTE,TOTALENERGIES,Equity,0.19,Energy,Nyse Euronext - Euronext Paris,France,EUR
SWDA,BHP,BHP GROUP LTD,Equity,0.19,Materials,Asx - All Markets,Australia,AUD
SWDA,AXP,AMERICAN EXPRESS,Equity,0.19,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,DE,DEERE,Equity,0.19,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,ISRG,INTUITIVE SURGICAL INC,Equity,0.19,Health Care,NASDAQ,United States,USD
SWDA,SAN,SANOFI SA,Equity,0.19,Health Care,Nyse Euronext - Euronext Paris,France,EUR
SWDA,NOW,SERVICENOW INC,Equity,0.19,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,MMM,3M,Equity,0.19,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,6861,KEYENCE CORP,Equity,0.19,Information Technology,Tokyo Stock Exchange,Japan,JPY
SWDA,CVS,CVS HEALTH CORP,Equity,0.18,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,SCHW,CHARLES SCHWAB CORP,Equity,0.18,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,SPGI,S&P GLOBAL INC,Equity,0.18,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.18,Communication,NASDAQ,United States,USD
SWDA,SQ,SQUARE INC CLASS A,Equity,0.17,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,GSK,GLAXOSMITHKLINE PLC,Equity,0.17,Health Care,London Stock Exchange,United Kingdom,GBP
SWDA,SU,SCHNEIDER ELECTRIC,Equity,0.16,Industrials,Nyse Euronext - Euronext Paris,France,EUR
SWDA,ALV,ALLIANZ,Equity,0.16,Financials,Xetra,Germany,EUR
SWDA,CSL,CSL LTD,Equity,0.16,Health Care,Asx - All Markets,Australia,AUD
SWDA,PLD,PROLOGIS REIT INC,Equity,0.16,Real Estate,New York Stock Exchange Inc.,United States,USD
SWDA,ZTS,ZOETIS INC CLASS A,Equity,0.16,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,ANTM,ANTHEM INC,Equity,0.15,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,RIO,RIO TINTO PLC,Equity,0.15,Materials,London Stock Exchange,United Kingdom,GBP
SWDA,ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.15,Information Technology,NASDAQ,United States,USD
SWDA,LMT,LOCKHEED MARTIN CORP,Equity,0.15,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,TMUS,T MOBILE US INC,Equity,0.15,Communication,NASDAQ,United States,USD
SWDA,GILD,GILEAD SCIENCES INC,Equity,0.15,Health Care,NASDAQ,United States,USD
SWDA,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.15,Consumer Staples,NASDAQ,United States,USD
SWDA,MO,ALTRIA GROUP INC,Equity,0.15,Consumer Staples,New York Stock Exchange Inc.,United States,USD
SWDA,BKNG,BOOKING HOLDINGS INC,Equity,0.15,Consumer Discretionary,NASDAQ,United States,USD
SWDA,TJX,TJX INC,Equity,0.14,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,SYK,STRYKER CORP,Equity,0.14,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,BP,BP PLC,Equity,0.14,Energy,London Stock Exchange,United Kingdom,GBP
SWDA,CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.14,Real Estate,New York Stock Exchange Inc.,United States,USD
SWDA,USB,US BANCORP,Equity,0.14,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,LRCX,LAM RESEARCH CORP,Equity,0.14,Information Technology,NASDAQ,United States,USD
SWDA,CB,CHUBB LTD,Equity,0.14,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,0.14,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,RDSA,ROYAL DUTCH SHELL PLC,Equity,0.14,Energy,London Stock Exchange,United Kingdom,GBP
SWDA,PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.14,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,COF,CAPITAL ONE FINANCIAL CORP,Equity,0.14,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Equity,0.14,Materials,Nyse Euronext - Euronext Paris,France,EUR
SWDA,MELI,MERCADOLIBRE INC,Equity,0.14,Consumer Discretionary,NASDAQ,United States,USD
SWDA,DUK,DUKE ENERGY CORP,Equity,0.14,Utilities,New York Stock Exchange Inc.,United States,USD
SWDA,BATS,BRITISH AMERICAN TOBACCO PLC,Equity,0.13,Consumer Staples,London Stock Exchange,United Kingdom,GBP
SWDA,COP,CONOCOPHILLIPS,Equity,0.13,Energy,New York Stock Exchange Inc.,United States,USD
SWDA,BNS,BANK OF NOVA SCOTIA,Equity,0.13,Financials,Toronto Stock Exchange,Canada,CAD
SWDA,TFC,TRUIST FINANCIAL CORP,Equity,0.13,Financials,New York Stock Exchange Inc.,United States,USD
