Date;CHFEUR=X;CHFGBP=X;CHFINR=X;CHFJPY=X;CHFUSD=X
2020-08-10;0.9297909736633301;0.8393300175666809;81.38590240478516;115.96199798583984;1.0956082344055176
2020-08-11;0.9304320216178894;0.8351600170135498;81.71330261230469;115.75199890136719;1.0922993421554565
2020-08-12;0.9286519885063171;0.8351699709892273;81.26499938964844;116.10800170898438;1.090274691581726
2020-08-13;0.9297999739646912;0.840499997138977;81.94750213623047;117.15299987792969;1.096719741821289
2020-08-14;0.9302589893341064;0.8409600257873535;82.16680145263672;117.60299682617188;1.0993238687515259
2020-08-17;0.9282900094985962;0.8395199775695801;82.3218994140625;117.24199676513672;1.1007153987884521
2020-08-18;0.9288420081138611;0.8415200114250183;82.37539672851562;116.92400360107422;1.1035091876983643
2020-08-19;0.927049994468689;0.8356999754905701;82.5385971069336;116.55000305175781;1.1077386140823364
2020-08-20;0.9229090213775635;0.8337299823760986;81.7468032836914;115.9540023803711;1.0932666063308716
2020-08-21;0.9285910129547119;0.8339099884033203;82.63159942626953;116.46800231933594;1.1029006242752075
2020-08-24;0.9292399883270264;0.8372799754142761;82.11940002441406;116.0780029296875;1.0967316627502441
2020-08-25;0.9297400116920471;0.8388599753379822;81.26090240478516;116.2300033569336;1.0966354608535767
2020-08-26;0.9304490089416504;0.8373200297355652;81.67070007324219;117.16899871826172;1.1013579368591309
2020-08-27;0.9305440187454224;0.8334900140762329;81.7114028930664;116.63600158691406;1.102074146270752
2020-08-28;0.9302759766578674;0.8331199884414673;81.19380187988281;117.27100372314453;1.1001100540161133
2020-08-31;0.9284399747848511;0.8284900188446045;80.79340362548828;116.76000213623047;1.1066844463348389
2020-09-01;0.9264410138130188;0.8275899887084961;80.9655990600586;117.25;1.1063170433044434
2020-09-02;0.9221770167350769;0.8205999732017517;80.19000244140625;116.43599700927734;1.09966242313385
2020-09-03;0.9260889887809753;0.8218299746513367;80.32530212402344;116.53299713134766;1.097477912902832
2020-09-04;0.9279189705848694;0.8284299969673157;80.5636978149414;116.55999755859375;1.0988527536392212
2020-09-07;0.9247789978981018;0.826229989528656;80.16719818115234;116.3499984741211;1.094606876373291
2020-09-08;0.9231989979743958;0.829010009765625;80.0728988647461;115.99600219726562;1.0912384986877441
2020-09-09;0.9254980087280273;0.8399099707603455;80.29620361328125;115.42500305175781;1.089561939239502
2020-09-10;0.928712010383606;0.843280017375946;80.28690338134766;116.45500183105469;1.0963228940963745
2020-09-11;0.9290310144424438;0.8576400279998779;80.59459686279297;116.5989990234375;1.098575234413147
2020-09-14;0.9289360046386719;0.8589699864387512;80.73249816894531;116.75;1.1002068519592285
2020-09-15;0.9275659918785095;0.8566700220108032;80.69840240478516;116.37999725341797;1.10093355178833
2020-09-16;0.9291700124740601;0.8541499972343445;80.9363021850586;115.97799682617188;1.1006791591644287
2020-09-17;0.9302800297737122;0.8472899794578552;80.69129943847656;115.36399841308594;1.0982011556625366
2020-09-18;0.929186999797821;0.8484200239181519;80.96549987792969;115.2750015258789;1.100969910621643
2020-09-21;0.9264000058174133;0.8485599756240845;80.65180206298828;114.71700286865234;1.0975502729415894
2020-09-22;0.928600013256073;0.8521999716758728;80.31819915771484;114.37899780273438;1.0928232669830322
2020-09-23;0.9283699989318848;0.8529300093650818;79.82270050048828;114.16600036621094;1.087074637413025
2020-09-24;0.9280740022659302;0.8508599996566772;79.55719757080078;113.94999694824219;1.082309603691101
2020-09-25;0.9242740273475647;0.8458300232887268;79.72989654541016;113.76300048828125;1.0790512561798096
2020-09-28;0.9257969856262207;0.8438100218772888;79.2686996459961;113.7249984741211;1.0774585008621216
2020-09-29;0.9268400073051453;0.8408300280570984;79.77529907226562;114.12699890136719;1.0825556516647339
2020-09-30;0.9259260296821594;0.8453199863433838;80.14649963378906;114.87999725341797;1.0876185894012451
2020-10-01;0.9259430170059204;0.8405799865722656;79.80549621582031;114.49199676513672;1.086130142211914
2020-10-02;0.9263629913330078;0.8443400263786316;79.61419677734375;114.82599639892578;1.0881630182266235
2020-10-05;0.9293299913406372;0.8423200249671936;79.54100036621094;114.9229965209961;1.0894432067871094
2020-10-06;0.9268270134925842;0.8410300016403198;79.80809783935547;115.48600006103516;1.0928363800048828
2020-10-07;0.9284189939498901;0.8457900285720825;79.96009826660156;115.0999984741211;1.089751958847046
2020-10-08;0.9266980290412903;0.8441500067710876;79.8906021118164;115.5469970703125;1.0907789468765259
2020-10-09;0.9266639947891235;0.8426499962806702;79.86000061035156;115.58999633789062;1.090869426727295
2020-10-12;0.9293509721755981;0.842739999294281;80.1594009399414;116.01100158691406;1.0983580350875854
2020-10-13;0.931098997592926;0.8418700098991394;80.6041030883789;115.86100006103516;1.100097894668579
2020-10-14;0.9303799867630005;0.8446000218391418;80.13359832763672;115.22000122070312;1.0926811695098877
2020-10-15;0.9320880174636841;0.8413400053977966;80.15470123291016;115.0989990234375;1.0949064493179321
2020-10-16;0.9336889982223511;0.8473600149154663;80.21499633789062;115.18499755859375;1.0937328338623047
2020-10-19;0.9326199889183044;0.8451700210571289;80.2238998413086;115.19300079345703;1.0927648544311523
2020-10-20;0.933139979839325;0.8480200171470642;80.47589874267578;115.80899810791016;1.0982131958007812
2020-10-21;0.9321399927139282;0.8512600064277649;80.92179870605469;116.30000305175781;1.1029006242752075
2020-10-22;0.9311590194702148;0.8405200242996216;81.17530059814453;115.53600311279297;1.104008674621582
2020-10-23;0.9324100017547607;0.8424000144004822;81.08899688720703;115.58399963378906;1.1018069982528687
