France;CAC Next 20;BVI.PA;Bureau Veritas;Business Services
France;CAC Next 20;EDEN.PA;Edenred;Financial Services
France;CAC Next 20;EDF.PA;EDF;Electricity
France;CAC Next 20;FGR.PA;Eiffage;Construction
France;CAC Next 20;EO.PA;Faurecia;Automotives
France;CAC Next 20;GFC.PA;Gecina;Real Estate
France;CAC Next 20;GET.PA;Getlink;Rail Transport
France;CAC Next 20;ING.PA;Ingenico;Electronic Transactions
France;CAC Next 20;LI.PA;Klépierre;Real Estate
France;CAC Next 20;KN.PA;Natixis;Banking
France;CAC Next 20;SCR.PA;Scor;Reinsurance
France;CAC Next 20;SESG.PA;SES;Telecommunications
France;CAC Next 20;SOLB.BR;Solvay;Chemicals
France;CAC Next 20;SEV.PA;Suez Environnement;Water
France;CAC Next 20;TEP.PA;Teleperformance;Business Services
France;CAC Next 20;UBI.PA;Ubisoft;Video Games
France;CAC Next 20;FR.PA;Valeo;Automotives
France;CAC 40;AC.PA;Accor;Hotels
France;CAC 40;AI.PA;Air Liquide;Chemicals
France;CAC 40;AIR.PA;Airbus;Aerospace & Defense
France;CAC 40;MT.AS;ArcelorMittal;Steel
France;CAC 40;ATO.PA;Atos;IT services
France;CAC 40;CS.PA;AXA;Insurance
France;CAC 40;BNP.PA;BNP Paribas;Banking
France;CAC 40;EN.PA;Bouygues;Heavy construction
France;CAC 40;CAP.PA;Capgemini;IT services
France;CAC 40;CA.PA;Carrefour;Food
France;CAC 40;ACA.PA;Crédit Agricole;Banking
France;CAC 40;BN.PA;Danone;Food
France;CAC 40;DSY.PA;Dassault Systèmes;Software
France;CAC 40;ENGI.PA;Engie;Gas and electric utility
France;CAC 40;EL.PA;Essilor;Medical supplies
France;CAC 40;RMS.PA;Hermès;Clothing
France;CAC 40;KER.PA;Kering;Retail business
France;CAC 40;OR.PA;L'Oréal;Personal products
France;CAC 40;LR.PA;Legrand;Electrical components and equipment
France;CAC 40;MC.PA;LVMH;Clothing
France;CAC 40;ML.PA;Michelin;Tires
France;CAC 40;ORA.PA;Orange;Telecommunications
France;CAC 40;RI.PA;Pernod Ricard;Distillers and vintners
France;CAC 40;UG.PA;PSA;Automotives
France;CAC 40;PUB.PA;Publicis;Media agencies
France;CAC 40;RNO.PA;Renault;Automotives
France;CAC 40;SAF.PA;Safran;Aerospace & Defense
France;CAC 40;SGO.PA;Saint-Gobain;Construction
France;CAC 40;SAN.PA;Sanofi;Pharmaceuticals
France;CAC 40;SU.PA;Schneider Electric;Electrical components and equipment
France;CAC 40;GLE.PA;Société Générale;Banking
France;CAC 40;SW.PA;Sodexo;Food
France;CAC 40;STM.PA;STMicroelectronics;Semiconductors
France;CAC 40;FTI;TechnipFMC;Oil and Gas services
France;CAC 40;HO.PA;Thales;Aerospace & Defense
France;CAC 40;FP.PA;Total;Oil & gas
France;CAC 40;URW.AS;Unibail-Rodamco-Westfield;Real estate
France;CAC 40;VIE.PA;Veolia;Engergy
France;CAC 40;DG.PA;Vinci;Heavy construction
France;CAC 40;VIV.PA;Vivendi;Media
Belgium;BEL 20;ACKB.BR;Ackermans & van Haaren;Financial Services
Belgium;BEL 20;AGS.BR;Ageas;Insurance
Belgium;BEL 20;ABI.BR;AB InBev;Food and Beverage
Belgium;BEL 20;APAM.AS;Aperam;Basic Materials
Belgium;BEL 20;ARGX.BR;arGEN-X;Chemicals
Belgium;BEL 20;BAR.BR;Barco;electronic equipment
Belgium;BEL 20;COFB.BR;Cofinimmo;Real Estate
Belgium;BEL 20;COLR.BR;Colruyt;Retail
Belgium;BEL 20;GLPG.BR;Galapagos;Health Care
Belgium;BEL 20;GBLB.BR;GBL;Financial Services
Belgium;BEL 20;INGA.BR;ING Group;Banking
Belgium;BEL 20;KBC.BR;KBC;Banking
Belgium;BEL 20;ONTEX.BR;Ontex;Group	Personal and Household Goods
Belgium;BEL 20;PROX.BR;Proximus;Telecommunications
Belgium;BEL 20;SOF.BR;Sofina;Financial Services
Belgium;BEL 20;SOLB.BR;Solvay;Chemicals
Belgium;BEL 20;TNET.BR;Telenet Group;Media
Belgium;BEL 20;UCB.BR;UCB;Health Care
Belgium;BEL 20;UMI.BR;Umicore;Chemicals
Belgium;BEL 20;WDP.BR;WDP;Real Estate
Austria;ATX;EBS.VI;Erste Bank;Banking
Austria;ATX;OMV.VI;OMV;Oil & Gas
Austria;ATX;VOE.VI;Voestalpine;Mining & Metals
Austria;ATX;RBI.VI;Raiffeisen International;Banking
Austria;ATX;ANDR.VI;Andritz;Industrial Engineering & Machinery
Austria;ATX;LNZ.VI;Lenzing;Chemicals
Austria;ATX;IIA.VI;Immofinanz;Real Estate
Austria;ATX;WIE.VI;Wienerberger;Construction
Austria;ATX;BG.VI;BAWAG;Banking
Austria;ATX;CAI.VI;CA Immo;Real Estate
Austria;ATX;VER.VI;Verbund;Electric Utilities
Austria;ATX;ATS.VI;Austria Technologie & Systemtechnik AG;Goods & Services	Electronics
Austria;ATX;SBO.VI;Schoeller-Bleckmann Oilfield Equipment;Oil & Gas
Austria;ATX;UQA.VI;Uniqa Insurance Group;Insurance
Austria;ATX;VIG.VI;Vienna Insurance Group;Insurance
Austria;ATX;POST.VI;Österreichische Post;Transportation
Austria;ATX;FACC.VI;FACC;Aerospace & Defense
Austria;ATX;TKA.VI;Telekom Austria;Telecommunications
Austria;ATX;DOC.VI;DO&CO;Food, Beverage & Tobacco
Austria;ATX;SPI.VI;S IMMO AG;Real Estate
Indonesia;JII;CTRA.JK;Ciputra Development Tbk;Real Estate
Indonesia;JII;EXCL.JK;XL Axiata Tbk PT;Telecommunication
Indonesia;JII;LSIP.JK;PP London Sumatra Indonesia Tbk PT;Consumer Products
Indonesia;JII;SMRA.JK;Summarecon Agung Tbk PT;Real Estate
Indonesia;LQ45;ADHI.JK;Adhi Karya (Persero) Tbk.;Construction
Indonesia;LQ45;ADRO.JK;Adaro Energy Tbk.;Energy
Indonesia;LQ45;AKRA.JK;AKR Corporindo Tbk.;Petroleum
Indonesia;LQ45;ANTM.JK;Aneka Tambang Tbk.;Mining
Indonesia;LQ45;ASII.JK;Astra International Tbk.;Automotives
Indonesia;LQ45;BBCA.JK;Bank Central Asia Tbk.;Financial Services
Indonesia;LQ45;BBNI.JK;Bank Negara Indonesia (Persero) Tbk.;Financial Services
Indonesia;LQ45;BBRI.JK;Bank Rakyat Indonesia (Persero) Tbk.;Financial Services
Indonesia;LQ45;BBTN.JK;Bank Tabungan Negara (Persero) Tbk.;Financial Services
Indonesia;LQ45;BJBR.JK;BPD Jawa Barat dan Banten Tbk.;Financial Services
Indonesia;LQ45;BMRI.JK;Bank Mandiri (Persero) Tbk.;Financial Services
Indonesia;LQ45;BMTR.JK;Global Mediacom Tbk.;Media
Indonesia;LQ45;BRPT.JK;Barito Pacific Tbk.;Energy
Indonesia;LQ45;BSDE.JK;Bumi Serpong Damai Tbk.;Real Estate
Indonesia;LQ45;BUMI.JK;Bumi Resources Tbk.;Energy
Indonesia;LQ45;GGRM.JK;Gudang Garam Tbk.;Tobacco
Indonesia;LQ45;HMSP.JK;H.M. Sampoerna Tbk.;Tobacco
Indonesia;LQ45;ICBP.JK;Indofood CBP Sukses Makmur Tbk.;Food
Indonesia;LQ45;INCO.JK;Vale Indonesia Tbk.;Mining
Indonesia;LQ45;INDF.JK;Indofood Sukses Makmur Tbk.;Food
Indonesia;LQ45;INDY.JK;Indika Energy Tbk.;Energy
Indonesia;LQ45;INTP.JK;Indocement Tunggal Prakarsa Tbk.;Cement
Indonesia;LQ45;JSMR.JK;Jasa Marga (Persero) Tbk.;Infrastructure Construction
Indonesia;LQ45;KLBF.JK;Kalbe Farma Tbk.;Healthcare
Indonesia;LQ45;LPKR.JK;Lippo Karawaci Tbk.;Real Estate
Indonesia;LQ45;LPPF.JK;Matahari Department Store Tbk.;Retail Business
Indonesia;LQ45;MNCN.JK;Media Nusantara Citra Tbk.;Media
Indonesia;LQ45;MYRX.JK;Hanson International Tbk.;Waste Management
Indonesia;LQ45;PGAS.JK;Perusahaan Gas Negara (Persero) Tbk.;Oil & Gas
Indonesia;LQ45;PTBA.JK;Tambang Batubara Bukit Asam (Persero) Tbk.;Oil & Gas
Indonesia;LQ45;PTPP.JK;PP (Persero) Tbk.;Construction
Indonesia;LQ45;PWON.JK;Pakuwon Jati Tbk.;Real Estate
Indonesia;LQ45;SCMA.JK;Surya Citra Media Tbk.;Media
Indonesia;LQ45;SMGR.JK;Semen Indonesia (Persero) Tbk.;Construction
Indonesia;LQ45;SRIL.JK;Sri Rejeki Isman Tbk.;Textile
Indonesia;LQ45;SSMS.JK;Sawit Sumbermas Sarana Tbk.;Consumer Products
Indonesia;LQ45;TLKM.JK;Telekomunikasi Indonesia (Perser o) Tbk.;Telecommunications
Indonesia;LQ45;TPIA.JK;Chandra Asri Petrochemical Tbk.;Petrochemical
Indonesia;LQ45;TRAM.JK;Trada Alam Minera Tbk.;Petroleum
Indonesia;LQ45;UNTR.JK;United Tractors;Heavy Equipment
Indonesia;LQ45;UNVR.JK;Unilever Indonesia;Food
Indonesia;LQ45;WIKA.JK;Wijaya Karya;Construction
Indonesia;LQ45;WSBP.JK;Waskita Beton Precast Tbk.;Construction
Indonesia;LQ45;WSKT.JK;Waskita Karya;Construction
Japan;NIKKEI 225;9983.T;Fast Retailing;Einzelhandel
Japan;NIKKEI 225;9984.T;Softbank;Kommunikation
Japan;NIKKEI 225;6954.T;Fanuc;Elektronik, Maschinen
Japan;NIKKEI 225;8035.T;Tokyo Electron;Elektronik
Japan;NIKKEI 225;9433.T;KDDI;Kommunikation
Japan;NIKKEI 225;4543.T;Terumo;Präzisionsgeräte
Japan;NIKKEI 225;6971.T;Kyocera;Elektronik, Maschinen
Japan;NIKKEI 225;6367.T;Daikin Industries;Maschinen
Japan;NIKKEI 225;8028.T;Familymart Uny Holdings;Einzelhandel
Japan;NIKKEI 225;9735.T;Secom;Commercial Services
Japan;NIKKEI 225;4063.T;Shin-Etsu Chemical;Chemicals
Japan;NIKKEI 225;6098.T;Recruit Holdings;Personaldienstleistung
Japan;NIKKEI 225;6762.T;TDK;Elektronik
Japan;NIKKEI 225;4452.T;Kao;Kosmetik
Japan;NIKKEI 225;4503.T;Astellas;Pharma
Japan;NIKKEI 225;4911.T;Shiseido;Kosmetik
Japan;NIKKEI 225;4519.T;Chugai Pharmaceutical;Pharma
Japan;NIKKEI 225;4507.T;Shionogi;Pharma
Japan;NIKKEI 225;7203.T;Toyota Motor;Automotives
Japan;NIKKEI 225;4523.T;Eisai;Pharma
Japan;NIKKEI 225;7267.T;Honda Motor;Automotives
Japan;NIKKEI 225;9613.T;NTT Data;Kommunikation
Japan;NIKKEI 225;6988.T;Nitto Denko;Sonstige Industrie
Japan;NIKKEI 225;7951.T;Yamaha Corporation;Sonstige Industrie
Japan;NIKKEI 225;4568.T;Daiichi Sankyo;Pharma
Japan;NIKKEI 225;2801.T;Kikkoman;Nahrungsmittel
Japan;NIKKEI 225;4704.T;Trend Micro;Software
Japan;NIKKEI 225;6645.T;Omron;Elektronik
Japan;NIKKEI 225;6857.T;Advantest;Elektronik
Japan;NIKKEI 225;4021.T;Nissan Chemical Industries;Chemicals
Japan;NIKKEI 225;4901.T;Fujifilm Holdings;Chemicals
Japan;NIKKEI 225;2502.T;Asahi Group Holdings;Beverages
Japan;NIKKEI 225;7269.T;Suzuki Motor;Automotives
Japan;NIKKEI 225;7733.T;Olympus;Präzisionsgeräte
Japan;NIKKEI 225;7751.T;Canon;Elektronik
Japan;NIKKEI 225;9766.T;Konami;Games
Japan;NIKKEI 225;4324.T;Dentsu;Commercial Services
Japan;NIKKEI 225;6758.T;Sony;Elektronik
Japan;NIKKEI 225;4502.T;Takeda Pharmaceutical;Pharma
Japan;NIKKEI 225;8830.T;Sumitomo Realty & Development;Immobilien
Japan;NIKKEI 225;4578.T;Otsuka Holdings;Pharma
Japan;NIKKEI 225;6902.T;Denso;Elektronik
Japan;NIKKEI 225;5108.T;Bridgestone;Gummi
Japan;NIKKEI 225;3382.T;Seven & i Holdings;Einzelhandel
Japan;NIKKEI 225;8015.T;Toyota Tsusho;Handelshaus
Japan;NIKKEI 225;6506.T;Yaskawa Electric;Elektronik
Japan;NIKKEI 225;1925.T;Daiwa House Industry;Construction
Japan;NIKKEI 225;6724.T;Seiko Epson	Elektronik;Electronic
Japan;NIKKEI 225;1721.T;Comsys Holdings;Construction
Japan;NIKKEI 225;8058.T;Mitsubishi Corporation;Handelshaus
Japan;NIKKEI 225;6305.T;Hitachi Construction Machinery;Maschinen
Japan;NIKKEI 225;9064.T;Yamato Holdings;Logistik
Japan;NIKKEI 225;8801.T;Mitsui Fudosan;Immobilien
Japan;NIKKEI 225;2914.T;Japan Tobacco;Tabak
Japan;NIKKEI 225;4506.T;Sumitomo Dainippon Pharma;Pharma
