DBK.DE;21610000000.0;;174.43;26.11;;0.95;0.36;;;1.34;80.59;39.88;11.25;4.45;9.32;8.68;12250000.0;13230000.0;2060000000.0;2050000000.0;7.04;36.74;;;;;;;;0.11;1.04;;0.0;1900-01-01;2019-05-24;;1900-01-01;2020-12-31;2020-12-31;2.23;7.69;0.05;1.0;22240000000.0;10.55;2.0;22240000000.0;;146000000.0;0.07;;626120000000.0;303.06;532420000000.0;;;29.34;;;Taunusanlage 12Frankfurt am Main 60325Germany49 69 910 00http://www.db.com;Financial Services;Banks—Regional;84659.0;2021-04-28;EUR
DB1.DE;24320000000.0;-77140000000.0;22.86;20.24;2.51;6.81;4.05;-21.58;-43.84;0.59;-6.82;39.88;170.15;92.92;135.42;140.41;518050.0;517560.0;183430000.0;;0.0;59.09;;;;;;3.0;2.28;3.0;2.28;2.34;50.0;1900-01-01;2021-05-20;10:1;2001-06-01;2020-12-31;2020-12-31;29.27;42.75;;18.13;3720000000.0;20.26;16.7;3170000000.0;1670000000.0;1090000000.0;5.93;11.1;;;3780000000.0;59.2;;32.82;;;The CubeMergenthalerallee 61Eschborn 65760Germany49 69 2 11 0http://www.deutsche-boerse.com;Financial Services;Financial Data & Stock Exchanges;;2021-04-21;EUR
DPW.DE;52310000000.0;47170000000.0;21.0;14.56;2.12;0.82;3.99;0.73;5.89;0.99;80.02;39.88;43.84;19.1;42.15;40.37;2910000.0;2890000.0;1240000000.0;980650000.0;20.46;32.1;;;;;;1.15;2.82;1.15;2.82;;57.21;1900-01-01;2020-08-28;;1900-01-01;2019-12-31;2020-09-30;3.91;5.15;4.01;21.1;64890000000.0;52.5;4.4;10030000000.0;5030000000.0;2540000000.0;2.01;51.7;5140000000.0;4.17;19290000000.0;144.36;1.02;10.64;7440000000.0;3330000000.0;Platz der Deutschen PostBonn 53113Germany49 228 182 6 36 36http://www.dpdhl.com;Industrials;Integrated Freight & Logistics;550051.0;2021-03-09;EUR
DTE.DE;71080000000.0;193210000000.0;17.03;12.71;0.58;0.71;1.98;1.92;4.87;0.69;9.79;39.88;15.73;10.41;14.94;14.75;10150000.0;11190000.0;4740000000.0;4050000000.0;31.9;26.51;;;;;;0.6;4.0;0.6;4.0;;68.18;1900-01-01;2021-04-06;;1900-01-01;2020-12-31;2020-12-31;4.01;14.13;4.21;11.36;103790000000.0;21.88;28.9;41430000000.0;33050000000.0;4160000000.0;0.88;155.5;12940000000.0;2.73;139820000000.0;192.73;1.0;7.57;23740000000.0;9630000000.0;Friedrich-Ebert-Allee 140Bonn 53113Germany49 228 181 88880http://www.telekom.com;Communication Services;Telecom Services;226291.0;2021-05-12;EUR
DWNI.DE;13140000000.0;17750000000.0;12.13;26.18;;5.31;1.08;7.04;9.4;0.21;8.86;39.88;46.97;27.66;40.77;42.67;788630.0;870800.0;343770000.0;343660000.0;0.0;65.39;;;;;;0.9;2.36;0.9;2.36;2.03;28.57;1900-01-01;2020-06-08;5:1;2006-09-25;2019-12-31;2020-09-30;48.1;29.12;1.63;10.26;2520000000.0;7.19;38.4;1010000000.0;753400000.0;1210000000.0;3.36;198.6;328200000.0;0.95;11890000000.0;94.31;1.44;35.48;428190000.0;120460000.0;Mecklenburgische Strasse 57Berlin 14197Germany49 30 897 86 0http://www.deutsche-wohnen.com;Real Estate;Real Estate—Development;3549.0;2021-03-25;EUR
EOAN.DE;22030000000.0;18420000000.0;18.37;12.42;;0.36;5.07;0.3;2.44;0.37;-15.98;39.88;10.81;7.6;8.69;9.2;10140000.0;13160000.0;2610000000.0;2210000000.0;15.0;45.13;;;;;;0.46;5.45;0.46;5.45;4.41;100.0;1900-01-01;2020-05-29;;1900-01-01;2019-12-31;2020-09-30;0.75;4.04;1.63;14.21;62060000000.0;23.8;76.4;9240000000.0;5700000000.0;1200000000.0;0.18;-63.9;3610000000.0;1.39;33560000000.000008;393.33;0.81;1.67;5030000000.0;3340000000.0;BrÃ¼sseler Platz 1Essen 45131Germany49 201 184 00http://www.eon.com;Utilities;Utilities—Diversified;73229.0;2021-03-24;EUR
FRE.DE;19880000000.0;44220000000.0;11.09;11.1;1.93;0.55;1.18;1.22;6.04;1.21;-5.91;39.88;46.51;24.25;36.3;37.34;1800000.0;1710000.0;446560000.0;407030000.0;26.99;37.74;;;;;;0.88;2.44;0.88;2.44;;25.85;1900-01-01;2021-05-25;;1900-01-01;2020-12-31;2020-12-31;4.7;12.0;4.07;10.73;36280000000.0;65.08;-0.1;10320000000.0;7070000000.0;1710000000.0;3.06;-20.4;1840000000.0;3.3;25910000000.0;99.58;1.35;30.4;6550000000.0;5520000000.0;Else-KrÃ¶ner-Strasse 1Bad Homburg vor der HÃ¶he 61352Germany49 6172 608 2487http://www.fresenius.com;Healthcare;Medical Care Facilities;311269.0;2021-05-06;EUR
FME.DE;17040000000.0;28180000000.0;14.75;15.36;2.61;0.96;1.53;1.58;6.82;0.96;-13.83;39.88;79.96;53.5;61.54;68.17;915290.0;788730.0;292880000.0;198500000.0;32.24;36.67;;;;;;1.2;2.08;1.34;2.34;;30.3;1900-01-01;2020-08-28;3:1;2007-06-18;2020-12-31;2020-12-31;6.52;13.14;4.54;11.24;17860000000.0;60.73;-3.9;5540000000.0;3190000000.0;1160000000.0;3.96;-48.3;1260000000.0;4.3;12380000000.0;100.39;1.18;38.29;4230000000.000001;2440000000.0;Else-KrÃ¶ner Strasse 1Bad Homburg 61352Germany49 6172 609 0http://www.freseniusmedicalcare.com;Healthcare;Medical Care Facilities;125364.0;2021-05-06;EUR
HEI.DE;13980000000.0;23020000000.0;7.66;9.73;3.02;0.78;1.05;1.29;6.56;1.5;50.44;39.88;74.04;29.0;64.67;58.82;733760.0;731380.0;198420000.0;145440000.0;25.53;36.61;;;;;;0.6;0.85;0.6;0.85;2.27;;1900-01-01;2020-06-05;;1900-01-01;2019-12-31;2020-06-30;-12.56;9.87;3.14;-13.27;17950000000.0;90.48;-10.4;11390000000.0;2890000000.0;-2210000000.0;-11.36;;2460000000.0;12.38;11580000000.0;79.11;1.17;66.85;2790000000.0;1320000000.0;Berliner Strasse 6Heidelberg 69120Germany49 6221 481 13227http://www.heidelbergcement.com;Basic Materials;Building Materials;53882.0;2021-03-18;EUR
HEN3.DE;34600000000.0;35750000000.0;20.97;18.73;3.8;1.9;2.04;1.83;11.02;0.58;13.21;39.88;95.14;62.24;86.27;88.55;437560.0;464720.0;174480000.0;274330000.0;0.0;34.3;;;;;;1.85;2.17;1.85;2.17;;45.45;1900-01-01;2021-04-19;3:1;2007-06-18;2020-12-31;2020-12-31;7.31;11.62;4.54;7.8;19250000000.0;44.33;-1.3;8990000000.0;2760000000.0;1410000000.0;3.24;-28.3;2170000000.0;4.99;3640000000.0;20.38;1.12;40.94;3080000000.0;1870000000.0;Henkelstrasse 67DÃ¼sseldorf 40589Germany49 211 797 0http://www.henkel.com;Consumer Defensive;Household & Personal Products;52950.0;2021-05-06;EUR
IFX.DE;41320000000.0;44980000000.0;109.53;27.93;0.92;4.38;4.06;4.85;23.91;1.53;100.89;39.88;36.96;10.13;34.59;29.05;5640000.0;7310000.0;1300000000.0;1300000000.0;0.0;54.23;;;;;;0.22;0.69;0.22;0.69;1.28;93.1;1900-01-01;2021-02-26;;1900-01-01;2020-09-30;2020-12-31;4.46;7.96;2.56;4.16;9280000000.0;7.26;37.3;2800000000.0;2000000000.0;383000000.0;0.29;21.9;3330000000.0;2.56;7000000000.0;68.8;2.29;7.82;2220000000.0;1210000000.0;Am Campeon 1-15NeubibergMunich 85579Germany49 89 234 26655http://www.infineon.com;Technology;Semiconductors;47058.0;2021-05-03;EUR
