GER;DAX;ADS.DE;Adidas;Footwear
GER;DAX;ALV.DE;Allianz;Financial Services
GER;DAX;BAS.DE;BASF;Basic Materials
GER;DAX;BAYN.DE;Bayer;Healthcare
GER;DAX;BMW.DE;BMW;Automobile
GER;DAX;CON.DE;Continental;Automotive
GER;DAX;1COV.DE;Covestro;Basic Materials
GER;DAX;DAI.DE;Daimler;Automobile
GER;DAX;DHER.DE;Delivery Hero;Online Food Ordering
GER;DAX;DBK.DE;Deutsche Bank;Financial Services
GER;DAX;DB1.DE;Deutsche Börse;Financial Services
GER;DAX;DPW.DE;Deutsche Post;Industrials
GER;DAX;DTE.DE;Deutsche Telekom;Communication Services
GER;DAX;DWNI.DE;Deutsche Wohnen;Real Estate
GER;DAX;EOAN.DE;E.ON;Utilities
GER;DAX;FRE.DE;Fresenius;Healthcare
GER;DAX;FME.DE;Fresenius Medical Care;Healthcare
GER;DAX;HEI.DE;HeidelbergCement;Basic Materials
GER;DAX;HEN3.DE;Henkel;Consumer Goods
GER;DAX;IFX.DE;Infineon Technologies;Technology
GER;DAX;LIN.DE;Linde;Basic Materials
GER;DAX;MRK.DE;Merck;Healthcare
GER;DAX;MTX.DE;MTU Aero Engines;Industrials
GER;DAX;MUV2.DE;Munich Re;Financial Services
GER;DAX;RWE.DE;RWE;Utilities
GER;DAX;SAP.DE;SAP;Technology
GER;DAX;SIE.DE;Siemens;Industrials
GER;DAX;ENR.DE;Siemens Energy;Energy technology
GER;DAX;VOW3.DE;Volkswagen Group;Automobile
GER;DAX;VNA.DE;Vonovia;Real Estate
GER;MDAX;ARL.DE;Aareal Bank AG;Bank
GER;MDAX;AIR.DE;Airbus SE;Aerospace, Defence
GER;MDAX;AIXA.DE;Aixtron SE;Semiconductor industry
GER;MDAX;AOX.DE;alstria office REIT-AG;Real estate
GER;MDAX;AT1.DE;Aroundtown S.A.;Real estate
GER;MDAX;NDA.DE;Aurubis AG;Metals
GER;MDAX;BC8.DE;Bechtle AG;IT services
GER;MDAX;BNR.DE;Brenntag AG;Chemical distribution
GER;MDAX;COK.DE;Cancom SE;IT services
GER;MDAX;AFX.DE;Carl Zeiss Meditec AG;Medical technology
GER;MDAX;CBK.DE;Commerzbank AG;Bank
GER;MDAX;COP.DE;CompuGroup Medical SE;Software
GER;MDAX;EVD.DE;CTS Eventim AG & Co. KGaA;Leisure-events
GER;MDAX;LHA.DE;Deutsche Lufthansa AG;Airlines
GER;MDAX;DUE.DE;Dürr AG;Plant and machinery construction
GER;MDAX;EVK.DE;Evonik Industries AG;Chemistry
GER;MDAX;EVT.DE;Evotec SE;Biotechnology
GER;MDAX;FRA.DE;Fraport AG;Airport operator
GER;MDAX;FNTN.DE;Freenet AG;Telecommunications
GER;MDAX;FPE3.DE;Fuchs Petrolub SE;Chemistry
GER;MDAX;G1A.DE;GEA Group AG;Machinery
GER;MDAX;GXI.DE;Gerresheimer AG;Packaging
GER;MDAX;GYC.DE;Grand City Properties S.A.;Real estate
GER;MDAX;GLJ.DE;Grenke AG;Finance
GER;MDAX;HNR1.DE;Hannover Rückversicherung AG;Reinsurance
GER;MDAX;HLE.DE;HELLA GmbH & Co. KGaA;Automotive
GER;MDAX;HFG.DE;HelloFresh SE;Meal kit
GER;MDAX;HOT.DE;Hochtief AG;Construction
GER;MDAX;BOSS.DE;Hugo Boss AG;Clothing, Accessories
GER;MDAX;SDF.DE;K+S AG;Mining (fertilizer and salt)
GER;MDAX;KGX.DE;Kion Group AG;Handling equipment
GER;MDAX;KBX.DE;Knorr-Bremse AG;Manufacturing
GER;MDAX;LXS.DE;Lanxess AG;Chemistry
GER;MDAX;LEG.DE;LEG Immobilien AG;Real estate
GER;MDAX;B4B.DE;Metro AG;Wholesale
GER;MDAX;MOR.DE;Morphosys AG;Biotechnology
GER;MDAX;NEM.DE;Nemetschek SE;Software
GER;MDAX;OSR.DE;OSRAM Licht AG;Lighting
GER;MDAX;PSM.DE;ProSiebenSat.1 Media SE;Media
GER;MDAX;PUM.DE;Puma SE;Sports equipment
GER;MDAX;QGEN.DE;Qiagen N.V.;Biotechnology
GER;MDAX;RAA.DE;Rational AG;Manufacturing
GER;MDAX;RHM.DE;Rheinmetall AG;Defence
GER;MDAX;na;Rocket Internet SE;Venture capital
GER;MDAX;RRTL.DE;RTL Group SA;Media
GER;MDAX;SRT.DE;Sartorius AG;Pharmaceutical and laboratory equipment
GER;MDAX;G24.DE;Scout24 AG;Online-market
GER;MDAX;SHL.DE;Siemens Healthineers AG;Medical technology
GER;MDAX;WAF.DE;Siltronic AG;Semiconductor industry
GER;MDAX;SOW.DE;Software AG;Software
GER;MDAX;SAX.DE;Ströer SE & Co. KGaA;Media, out-of-home advertising
GER;MDAX;SY1.DE;Symrise AG;Chemistry
GER;MDAX;TEG.DE;TAG Immobilien AG;Real estate
GER;MDAX;TMV.DE;TeamViewer AG;Software
GER;MDAX;O2D.DE;Telefónica Deutschland Holding AG;Telecommunications
GER;MDAX;TKA.DE;Thyssenkrupp AG;Conglomerate
GER;MDAX;UN01.DE;Uniper SE;Electric utility
GER;MDAX;UTDI.DE;United Internet AG;Telecommunications
GER;MDAX;VAR1.DE;Varta AG;Electrical equipment
GER;MDAX;ZAL.DE;Zalando SE;Online retailing
USA;S&P 500;MMM;3M;Industrials
USA;S&P 500;ABT;Abbott Laboratories;Health Care
USA;S&P 500;ABBV;AbbVie;Health Care
USA;S&P 500;ABMD;Abiomed;Health Care
USA;S&P 500;ACN;Accenture;Information Technology
